,País,OMS_regiao,Total de casos,Total de casos 100mil hab,Casos notif ultimos 7dias,Notif ultimos 7 dias 100mil hab,Notif ultimos 24hs,Obitos acumulados,Obitos 100mil hab,Obitos 7dias,Obitos 7dias 100mil hab,Obtos ultimas 24hs,vazio
62,Costa Rica,Americas,1152466,22623.465,3552,69.727,0,9051,177.676,5,0.098,0,
63,Tunisia,Eastern Mediterranean,1147145,9706.252,73,0.618,0,29269,247.652,1,0.008,0,
64,Bolivia (Plurinational State of),Americas,1118919,9585.513,6418,54.981,531,22253,190.636,3,0.026,0,
67,Puerto Rico,Americas,1028696,35957.667,9637,336.858,936,5442,190.223,51,1.783,0,
69,Panama,Americas,1015970,23546.347,6718,155.698,0,8543,197.994,10,0.232,0,
72,Uruguay,Americas,998047,28731.277,2645,76.143,0,7548,217.288,7,0.202,0,
74,Latvia,Europe,968992,50794.396,2861,149.973,465,6113,320.442,8,0.419,2,
75,Saudi Arabia,Eastern Mediterranean,826259,2373.361,400,1.149,68,9486,27.248,12,0.034,2,
76,Azerbaijan,Europe,824879,8135.563,367,3.62,9,9987,98.499,4,0.039,1,
77,Paraguay,Americas,718502,10073.581,0,0.0,0,19646,275.442,16,0.224,0,
80,Sri Lanka,South-East Asia,671761,3137.128,47,0.219,5,16808,78.493,3,0.014,0,
84,Cyprus,Europe,622102,70056.137,3854,434.007,0,1242,139.864,5,0.563,0,
86,Republic of Moldova,Europe,595652,14765.926,343,8.503,0,11922,295.541,2,0.05,0,
87,Venezuela (Bolivarian Republic of),Americas,548407,1928.57,566,1.99,59,5830,20.502,1,0.004,0,
88,Egypt,Eastern Mediterranean,515475,503.716,19,0.019,19,24800,24.234,1,0.001,1,
92,Réunion,Africa,482906,53937.175,1366,152.573,0,905,101.082,2,0.223,0,
93,Honduras,Americas,460714,4651.512,1793,18.103,0,11054,111.605,3,0.03,0,
95,Bosnia and Herzegovina,Europe,400695,12213.276,95,2.896,14,16215,494.237,10,0.305,3,
102,Luxembourg,Europe,309253,49392.916,1440,229.992,24,1170,186.869,2,0.319,0,
115,Afghanistan,Eastern Mediterranean,206702,530.981,429,1.102,99,7840,20.14,5,0.013,1,
120,Trinidad and Tobago,Americas,185528,13256.848,151,10.79,0,4268,304.969,1,0.071,0,
144,Sudan,Eastern Mediterranean,63663,145.186,8,0.018,0,4992,11.384,1,0.002,0,
154,Andorra,Europe,47446,61406.847,227,293.794,0,158,204.491,1,1.294,0,
155,Papua New Guinea,Western Pacific,46457,519.245,119,1.33,0,669,7.477,1,0.011,0,
156,Curaçao,Americas,45630,27807.402,44,26.814,0,297,180.995,2,1.219,0,
157,Aruba,Americas,43693,40924.077,52,48.705,0,280,262.256,44,41.212,0,
167,Guernsey,Europe,33080,51312.279,180,279.208,0,66,102.376,1,1.551,0,
175,United States Virgin Islands,Americas,23633,22631.554,88,84.271,0,126,120.661,1,0.958,0,
177,San Marino,Europe,22615,66636.219,136,400.731,0,120,353.586,1,2.947,0,
182,Grenada,Americas,19644,17457.764,8,7.11,0,238,211.512,1,0.889,0,
